UMAP1,UMAP2,cluster,kecamata,year,month
8.419058,-2.1983519,4,Solokanjeruk,2022,3
6.159496,8.862098,0,Padalarang,2022,3
16.985352,1.5375279,1,Batujajar,2022,3
1.9962591,-2.1008215,2,Ngamprah,2022,3
4.656862,16.447182,7,Cipatat,2022,3
1.2953132,4.768123,0,Lembang,2022,3
4.399762,16.48473,7,Cikalongwetan,2022,3
2.4372509,18.795858,7,Cipeundeuy,2022,3
1.5111024,4.951885,0,Parongpong,2022,3
3.9659147,9.651069,0,Cisarua,2022,3
3.8487058,8.3895035,0,Cililin,2022,3
4.7167025,16.681812,7,Cipongkor,2022,3
16.624182,1.5126402,1,Cihampelas,2022,3
2.4937522,15.910241,7,Gununghalu,2022,3
6.292521,8.668922,0,Saguling,2022,3
4.5166206,17.174847,7,Rongga,2022,3
3.4042666,9.138693,0,Sindangkerta,2022,3
15.857129,11.017713,3,Cimahi Tengah,2022,3
5.2473326,-5.3246913,6,Cimahi Utara,2022,3
18.92061,1.0980798,1,Cimahi Selatan,2022,3
20.154358,12.131988,3,Panyileukan,2022,4
20.080448,12.19241,3,Cinambo,2022,4
3.344451,-6.2038016,6,Ujungberung,2022,4
14.317659,-2.4071937,1,Gedebage,2022,4
10.436772,4.2881546,4,Mandalajati,2022,4
3.2416205,-6.065009,6,Coblong,2022,4
16.401667,7.6043124,3,Babakan Ciparay,2022,4
3.5957398,-5.8134894,6,Sukasari,2022,4
19.688133,1.1682618,1,Cicendo,2022,4
7.533414,-6.8210874,6,Sukajadi,2022,4
7.528708,13.006296,7,Bojongloa Kaler,2022,4
16.680025,8.03898,3,Andir,2022,4
-0.41993397,-2.479839,2,Cidadap,2022,4
7.417029,-1.1490418,4,Bandung Wetan,2022,4
15.352454,7.490111,3,Astana Anyar,2022,4
19.842701,11.593894,3,Lengkong,2022,4
19.765467,3.261183,1,Cibeunying Kidul,2022,4
16.494144,7.4951553,3,Regol,2022,4
15.503907,7.1500826,3,Batununggal,2022,4
19.806385,11.381763,3,Bojongloa Kidul,2022,4
3.3631406,-6.230382,6,Cibeunying Kaler,2022,4
16.336462,7.474124,3,Bandung Kulon,2022,4
15.962443,7.2752337,3,Kiaracondong,2022,4
19.528316,1.2433354,1,Sumur Bandung,2022,4
15.609483,7.0775204,3,Antapani,2022,4
20.23368,11.909693,3,Bandung Kidul,2022,4
19.95529,11.762128,3,Arcamanik,2022,4
2.9779015,-6.2746916,6,Cibiru,2022,4
20.169727,11.567254,3,Buahbatu,2022,4
20.208649,11.827362,3,Rancasari,2022,4
-6.5449996,8.155511,5,Rancabali,2022,4
-1.3713176,-0.86715776,2,Kutawaringin,2022,4
-0.9797138,-1.9202986,2,Cangkuang,2022,4
-0.2557404,-0.30442956,2,Cimenyan,2022,4
0.45931855,0.93452674,2,Cilengkrang,2022,4
15.168763,0.50582635,1,Cileunyi,2022,4
14.226246,-2.3972452,1,Bojongsoang,2022,4
16.45602,-1.7547228,1,Margahayu,2022,4
-0.5210655,1.6028702,2,Cimaung,2022,4
-6.4275584,7.872067,5,Pangalengan,2022,4
-0.6738897,-0.9158155,2,Arjasari,2022,4
15.716231,0.7343939,1,Margaasih,2022,4
-0.023218371,-1.2216617,2,Banjaran,2022,4
8.843169,-0.7759245,4,Pameungpeuk,2022,4
8.600658,-0.7667376,4,Katapang,2022,4
20.328203,11.826443,3,Dayeuhkolot,2022,4
13.784933,-2.9708316,1,Rancaekek,2022,4
0.29584438,-2.2371848,2,Ciparay,2022,4
0.13412498,-0.9126548,2,Nagreg,2022,4
0.73570544,-1.506553,2,Cikancung,2022,4
1.3029794,-1.0751953,2,Cicalengka,2022,4
-0.9549177,1.599186,2,Ciwidey,2022,4
-0.97627515,-2.0016253,2,Soreang,2022,4
-6.7855363,7.348003,5,Pasirjambu,2022,4
-0.94647557,7.0488906,0,Kertasari,2022,4
14.973235,0.3533706,1,Baleendah,2022,4
2.2202199,5.579258,0,Pacet,2022,4
0.53875566,-1.0310736,2,Paseh,2022,4
0.31163523,2.2711844,2,Ibun,2022,4
7.7725725,-0.98002476,4,Majalaya,2022,4
8.588373,-1.0777278,4,Solokanjeruk,2022,4
6.3149505,8.207896,0,Padalarang,2022,4
15.631293,0.67842484,1,Batujajar,2022,4
0.7610462,-2.1204789,2,Ngamprah,2022,4
5.2311177,16.280798,7,Cipatat,2022,4
1.9571376,5.4284277,0,Lembang,2022,4
5.1058526,16.53703,7,Cikalongwetan,2022,4
2.391785,19.941694,7,Cipeundeuy,2022,4
1.8399216,5.5346646,0,Parongpong,2022,4
3.6720774,9.108223,0,Cisarua,2022,4
3.2874677,8.22441,0,Cililin,2022,4
5.538202,16.722809,7,Cipongkor,2022,4
